uic;name;lon;lat
2;Bucuresti;26.074412;44.44677
3;Calais;1.811446;50.901549
4;Canterbury;1.075329;51.284212
5;Exeter;-3.543547;50.729172
8;Frankfurt Flughafen;8.571526;50.05108
9;Gdansk;18.643803;54.35552
11;Grenchen;7.389619;47.191698
19;Avignon;4.786044;43.921937
21;Barcelona;2.140369;41.378914
22;Basel;7.589563;47.547412
24;Bern Bümpliz;7.395238;46.937487
27;Birmingham;-1.89948;52.483627
31;Bruxelles;4.335694;50.835376
34;Liverpool;-2.97965;53.404289
39;Moskau;37.654246;55.777402
43;Poznan;16.934558;52.366166
47;Lyon;4.841839;45.745054
48;Madrid;-3.682351;40.472153
51;Manchester;-2.24248;53.473728
53;Marne-la-Vallée-Chessy;2.782876;48.870272
58;St. Petersburg;30.357393;59.956957
59;Tägerwilen;9.132979;47.659615
62;Valencia;-0.381761;39.458012
85;Schönbühl;7.498928;47.018942
108;Biberist;7.555831;47.18386
119;Helgoland;7.916857;54.186604
121;Helsinki Airport;25.007437;60.290218
122;Den Haag;4.322673;52.069584
123;Figueres;2.943027;42.26478
124;Freienbach;8.756219;47.207311
126;Ostrava;18.267262;49.852085
128;Aix-en-Provence;5.317224;43.455171
130;Lille;3.076448;50.639294
132;Bahn-2000-Strecke;7.68936;47.196374
133;Centovalli;8.603653;46.154371
134;Furka-Basistunnel;8.435917;46.530761
135;Lötschberg-Basistunnel;7.773846;46.356888
136;Lötschberg-Bergstrecke;7.717215;46.433756
137;Rotsee;8.320797;47.07453
138;Vereina;9.985688;46.808381
139;Seedamm;8.805061;47.217327
140;Gotthard-Panoramastrecke;8.594652;46.604329
141;Oberalp;8.66112;46.66088
142;Simplontunnel;8.088979;46.274969
174;Gotthard-Basistunnel;8.765599;46.680773
175;Hauenstein-Basistunnel;7.905118;47.401154
176;Zimmerberg-Basistunnel;8.521961;47.351679
177;Belfaux;7.10623;46.816925
179;Mürren;7.892934;46.560533
180;Hinterkappelen;7.378647;46.968022
181;Albulatunnel;9.811342;46.574006
184;Dublin;-6.197023;53.345297
185;Budapest;19.025288;47.498535
186;Lodz;19.544465;51.763091
189;Szczecin;14.494864;53.397748
196;Lisboa;-9.122274;38.713873
197;London;-0.126465;51.532679
198;Paris;2.35912;48.876976
199;Montpellier;3.923964;43.595115
201;Kittsee Grenze/Border;17.084055;48.102667
206;Stalden OW;8.211355;46.886483
209;Milano;9.187297;45.484437
212;Wien;16.337255;48.196753
213;Heathrow Airport;-0.453451;51.47138
214;Guntramsdorf;16.324341;48.04387
216;Berlin;13.370179;52.5233
217;Hamburg;10.005472;53.552559
218;Hohen Neuendorf bei Berlin;13.277745;52.6716
219;Lenzerheide Biathlon Weltcup;9.562969;46.685769
220;Thyon/Thyon 2000;7.372598;46.181947
221;Basel EuroAirport;7.532865;47.599227
1000001;Helsinki/Helsingfors;24.94144;60.171744
1000009;Ilmala;24.921541;60.207448
1000010;Helsinki Pasila/Böle;24.933488;60.198666
1000015;Oulunkylä;24.966474;60.228077
1000017;Malmi;25.010761;60.250843
1000019;Korso;25.078782;60.35138
1000020;Kerava;25.106274;60.404335
1000025;Järvenpää;25.090836;60.473828
1000027;Mäntsälä;25.307436;60.646957
1000028;Jokela;24.971044;60.552817
1000030;Hyvinkää;24.857748;60.631259
1000040;Riihimäki;24.781321;60.735174
1000042;Ryttylä;24.758087;60.818295
1000044;Turenki;24.63845;60.918315
1000047;Hämeenlinna/Tavastehus;24.47844;61.002631
1000049;Parola;24.366345;61.049936
1000055;Salo;23.121747;60.384774
1000060;Karjaa/Karis;23.661296;60.068572
1000062;Inkoo;23.937707;60.0609
1000063;Kirkkonummi;24.438877;60.119693
1000064;Masala;24.538581;60.157805
